Sexo;Sección;Edad (grupos quinquenales);Total
Ambos Sexos;4600501002;5-9;50
Ambos Sexos;4600501002;10-14;49
Ambos Sexos;4600501002;15-19;69
Ambos Sexos;4600501002;20-24;51
Ambos Sexos;4600501002;25-29;61
Ambos Sexos;4600501002;30-34;63
Ambos Sexos;4600501002;35-39;52
Ambos Sexos;4600501002;40-44;88
Ambos Sexos;4600501002;45-49;75
Ambos Sexos;4600501002;50-54;87
Ambos Sexos;4600501002;55-59;100
Ambos Sexos;4600501002;60-64;78
Ambos Sexos;4600501002;65-69;63
Ambos Sexos;4600501002;70-74;49
Ambos Sexos;4600501002;75-79;53
Ambos Sexos;4600501002;80-84;27
Ambos Sexos;4600501002;85-89;26
Ambos Sexos;4600501002;90-94;8
Ambos Sexos;4600501002;95-99;6
Ambos Sexos;4600501002;100 y más;0
Ambos Sexos;4600501003;Total;1.387
Ambos Sexos;4600501003;0-4;51
Ambos Sexos;4600501003;5-9;75
Ambos Sexos;4600501003;10-14;66
Ambos Sexos;4600501003;15-19;71
Ambos Sexos;4600501003;20-24;84
Ambos Sexos;4600501003;25-29;74
Ambos Sexos;4600501003;30-34;83
Ambos Sexos;4600501003;35-39;92
Ambos Sexos;4600501003;40-44;101
Ambos Sexos;4600501003;45-49;87
Ambos Sexos;4600501003;50-54;87
Ambos Sexos;4600501003;55-59;90
Ambos Sexos;4600501003;60-64;57
Ambos Sexos;4600501003;65-69;67
Ambos Sexos;4600501003;70-74;100
Ambos Sexos;4600501003;75-79;87
Ambos Sexos;4600501003;80-84;52
Ambos Sexos;4600501003;85-89;45
Ambos Sexos;4600501003;90-94;15
Ambos Sexos;4600501003;95-99;3
Ambos Sexos;4600501003;100 y más;0
Ambos Sexos;4600501004;Total;1.068
Ambos Sexos;4600501004;0-4;24
Ambos Sexos;4600501004;5-9;40
Ambos Sexos;4600501004;10-14;54
Ambos Sexos;4600501004;15-19;85
Ambos Sexos;4600501004;20-24;62
Ambos Sexos;4600501004;25-29;58
Ambos Sexos;4600501004;30-34;47
Ambos Sexos;4600501004;35-39;49
Ambos Sexos;4600501004;40-44;85
Ambos Sexos;4600501004;45-49;85
Ambos Sexos;4600501004;50-54;90
Ambos Sexos;4600501004;55-59;79
Ambos Sexos;4600501004;60-64;81
Ambos Sexos;4600501004;65-69;56
Ambos Sexos;4600501004;70-74;59
Ambos Sexos;4600501004;75-79;39
Ambos Sexos;4600501004;80-84;33
Ambos Sexos;4600501004;85-89;32
Ambos Sexos;4600501004;90-94;6
Ambos Sexos;4600501004;95-99;3
Ambos Sexos;4600501004;100 y más;1
Ambos Sexos;4600501005;Total;1.196
Ambos Sexos;4600501005;0-4;32
Ambos Sexos;4600501005;5-9;53
Ambos Sexos;4600501005;10-14;61
Ambos Sexos;4600501005;15-19;66
Ambos Sexos;4600501005;20-24;61
Ambos Sexos;4600501005;25-29;65
Ambos Sexos;4600501005;30-34;64
Ambos Sexos;4600501005;35-39;66
Ambos Sexos;4600501005;40-44;86
Ambos Sexos;4600501005;45-49;91
Ambos Sexos;4600501005;50-54;74
Ambos Sexos;4600501005;55-59;86
Ambos Sexos;4600501005;60-64;80
Ambos Sexos;4600501005;65-69;73
Ambos Sexos;4600501005;70-74;73
Ambos Sexos;4600501005;75-79;56
Ambos Sexos;4600501005;80-84;57
Ambos Sexos;4600501005;85-89;33
Ambos Sexos;4600501005;90-94;17
Ambos Sexos;4600501005;95-99;2
Ambos Sexos;4600501005;100 y más;0
Ambos Sexos;4600501006;Total;1.208
Ambos Sexos;4600501006;0-4;30
Ambos Sexos;4600501006;5-9;49
Ambos Sexos;4600501006;10-14;50
Ambos Sexos;4600501006;15-19;34
Ambos Sexos;4600501006;20-24;64
Ambos Sexos;4600501006;25-29;86
Ambos Sexos;4600501006;30-34;68
Ambos Sexos;4600501006;35-39;76
Ambos Sexos;4600501006;40-44;92
Ambos Sexos;4600501006;45-49;72
Ambos Sexos;4600501006;50-54;81
Ambos Sexos;4600501006;55-59;91
Ambos Sexos;4600501006;60-64;106
Ambos Sexos;4600501006;65-69;103
Ambos Sexos;4600501006;70-74;79
Ambos Sexos;4600501006;75-79;50
Ambos Sexos;4600501006;80-84;40
Ambos Sexos;4600501006;85-89;20
Ambos Sexos;4600501006;90-94;12
Ambos Sexos;4600501006;95-99;5
Ambos Sexos;4600501006;100 y más;0
Ambos Sexos;4600501007;Total;705
Ambos Sexos;4600501007;0-4;20
Ambos Sexos;4600501007;5-9;20
Ambos Sexos;4600501007;10-14;20
Ambos Sexos;4600501007;15-19;16
Ambos Sexos;4600501007;20-24;40
Ambos Sexos;4600501007;25-29;34
Ambos Sexos;4600501007;30-34;44
Ambos Sexos;4600501007;35-39;43
Ambos Sexos;4600501007;40-44;57
Ambos Sexos;4600501007;45-49;41
Ambos Sexos;4600501007;50-54;42
Ambos Sexos;4600501007;55-59;51
Ambos Sexos;4600501007;60-64;49
Ambos Sexos;4600501007;65-69;43
Ambos Sexos;4600501007;70-74;53
Ambos Sexos;4600501007;75-79;39
Ambos Sexos;4600501007;80-84;38
Ambos Sexos;4600501007;85-89;46
Ambos Sexos;4600501007;90-94;9
Ambos Sexos;4600501007;95-99;0
Ambos Sexos;4600501007;100 y más;0
Ambos Sexos;4600501008;Total;720
Ambos Sexos;4600501008;0-4;32
Ambos Sexos;4600501008;5-9;22
Ambos Sexos;4600501008;10-14;22
Ambos Sexos;4600501008;15-19;26
Ambos Sexos;4600501008;20-24;27
Ambos Sexos;4600501008;25-29;39
Ambos Sexos;4600501008;30-34;51
Ambos Sexos;4600501008;35-39;48
Ambos Sexos;4600501008;40-44;59
Ambos Sexos;4600501008;45-49;60
Ambos Sexos;4600501008;50-54;50
Ambos Sexos;4600501008;55-59;58
Ambos Sexos;4600501008;60-64;48
Ambos Sexos;4600501008;65-69;42
Ambos Sexos;4600501008;70-74;36
Ambos Sexos;4600501008;75-79;34
Ambos Sexos;4600501008;80-84;29
Ambos Sexos;4600501008;85-89;24
Ambos Sexos;4600501008;90-94;9
Ambos Sexos;4600501008;95-99;2
Ambos Sexos;4600501008;100 y más;2
Ambos Sexos;4600501010;Total;1.902
Ambos Sexos;4600501010;0-4;60
Ambos Sexos;4600501010;5-9;59
Ambos Sexos;4600501010;10-14;88
Ambos Sexos;4600501010;15-19;114
Ambos Sexos;4600501010;20-24;130
Ambos Sexos;4600501010;25-29;131
Ambos Sexos;4600501010;30-34;97
Ambos Sexos;4600501010;35-39;91
Ambos Sexos;4600501010;40-44;115
Ambos Sexos;4600501010;45-49;161
Ambos Sexos;4600501010;50-54;180
Ambos Sexos;4600501010;55-59;193
Ambos Sexos;4600501010;60-64;143
Ambos Sexos;4600501010;65-69;121
Ambos Sexos;4600501010;70-74;90
Ambos Sexos;4600501010;75-79;56
Ambos Sexos;4600501010;80-84;27
Ambos Sexos;4600501010;85-89;31
Ambos Sexos;4600501010;90-94;11
Ambos Sexos;4600501010;95-99;4
Ambos Sexos;4600501010;100 y más;0
Ambos Sexos;4600502001;Total;2.199
Ambos Sexos;4600502001;0-4;141
Ambos Sexos;4600502001;5-9;147
Ambos Sexos;4600502001;10-14;95
Ambos Sexos;4600502001;15-19;86
Ambos Sexos;4600502001;20-24;101
Ambos Sexos;4600502001;25-29;123
Ambos Sexos;4600502001;30-34;167
Ambos Sexos;4600502001;35-39;286
Ambos Sexos;4600502001;40-44;234
Ambos Sexos;4600502001;45-49;221
Ambos Sexos;4600502001;50-54;148
Ambos Sexos;4600502001;55-59;119
Ambos Sexos;4600502001;60-64;89
Ambos Sexos;4600502001;65-69;64
Ambos Sexos;4600502001;70-74;56
Ambos Sexos;4600502001;75-79;55
Ambos Sexos;4600502001;80-84;35
Ambos Sexos;4600502001;85-89;18
Ambos Sexos;4600502001;90-94;11
Ambos Sexos;4600502001;95-99;3
Ambos Sexos;4600502001;100 y más;0
Ambos Sexos;4600502002;Total;1.759
Ambos Sexos;4600502002;0-4;54
Ambos Sexos;4600502002;5-9;79
Ambos Sexos;4600502002;10-14;104
Ambos Sexos;4600502002;15-19;108
Ambos Sexos;4600502002;20-24;80
Ambos Sexos;4600502002;25-29;93
Ambos Sexos;4600502002;30-34;97
Ambos Sexos;4600502002;35-39;110
Ambos Sexos;4600502002;40-44;123
Ambos Sexos;4600502002;45-49;153
Ambos Sexos;4600502002;50-54;149
Ambos Sexos;4600502002;55-59;140
Ambos Sexos;4600502002;60-64;118
Ambos Sexos;4600502002;65-69;134
Ambos Sexos;4600502002;70-74;82
Ambos Sexos;4600502002;75-79;65
Ambos Sexos;4600502002;80-84;42
Ambos Sexos;4600502002;85-89;17
Ambos Sexos;4600502002;90-94;10
Ambos Sexos;4600502002;95-99;1
Ambos Sexos;4600502002;100 y más;0
Ambos Sexos;4600502003;Total;1.356
Ambos Sexos;4600502003;0-4;46
Ambos Sexos;4600502003;5-9;71
Ambos Sexos;4600502003;10-14;104
Ambos Sexos;4600502003;15-19;111
Ambos Sexos;4600502003;20-24;73
Ambos Sexos;4600502003;25-29;61
Ambos Sexos;4600502003;30-34;52
Ambos Sexos;4600502003;35-39;75
Ambos Sexos;4600502003;40-44;132
Ambos Sexos;4600502003;45-49;181
Ambos Sexos;4600502003;50-54;128
Ambos Sexos;4600502003;55-59;68
Ambos Sexos;4600502003;60-64;44
Ambos Sexos;4600502003;65-69;56
Ambos Sexos;4600502003;70-74;74
Ambos Sexos;4600502003;75-79;36
Ambos Sexos;4600502003;80-84;15
Ambos Sexos;4600502003;85-89;16
Ambos Sexos;4600502003;90-94;9
Ambos Sexos;4600502003;95-99;4
Ambos Sexos;4600502003;100 y más;0
Ambos Sexos;4600502004;Total;2.479
Ambos Sexos;4600502004;0-4;61
Ambos Sexos;4600502004;5-9;124
Ambos Sexos;4600502004;10-14;265
Ambos Sexos;4600502004;15-19;265
Ambos Sexos;4600502004;20-24;140
Ambos Sexos;4600502004;25-29;71
Ambos Sexos;4600502004;30-34;92
Ambos Sexos;4600502004;35-39;88
Ambos Sexos;4600502004;40-44;217
Ambos Sexos;4600502004;45-49;372
Ambos Sexos;4600502004;50-54;315
Ambos Sexos;4600502004;55-59;157
Ambos Sexos;4600502004;60-64;116
Ambos Sexos;4600502004;65-69;62
Ambos Sexos;4600502004;70-74;51
Ambos Sexos;4600502004;75-79;49
Ambos Sexos;4600502004;80-84;12
Ambos Sexos;4600502004;85-89;17
Ambos Sexos;4600502004;90-94;5
Ambos Sexos;4600502004;95-99;0
Ambos Sexos;4600502004;100 y más;0
Ambos Sexos;4600502005;Total;1.575
Ambos Sexos;4600502005;0-4;51
Ambos Sexos;4600502005;5-9;73
Ambos Sexos;4600502005;10-14;92
Ambos Sexos;4600502005;15-19;80
Ambos Sexos;4600502005;20-24;86
Ambos Sexos;4600502005;25-29;95
Ambos Sexos;4600502005;30-34;81
Ambos Sexos;4600502005;35-39;72
Ambos Sexos;4600502005;40-44;93
Ambos Sexos;4600502005;45-49;144
Ambos Sexos;4600502005;50-54;117
Ambos Sexos;4600502005;55-59;123
Ambos Sexos;4600502005;60-64;125
Ambos Sexos;4600502005;65-69;86
Ambos Sexos;4600502005;70-74;93
Ambos Sexos;4600502005;75-79;84
Ambos Sexos;4600502005;80-84;41
Ambos Sexos;4600502005;85-89;24
Ambos Sexos;4600502005;90-94;10
Ambos Sexos;4600502005;95-99;5
Ambos Sexos;4600502005;100 y más;0
Ambos Sexos;4600502006;Total;1.035
Ambos Sexos;4600502006;0-4;33
Ambos Sexos;4600502006;5-9;44
Ambos Sexos;4600502006;10-14;51
Ambos Sexos;4600502006;15-19;46
Ambos Sexos;4600502006;20-24;36
Ambos Sexos;4600502006;25-29;49
Ambos Sexos;4600502006;30-34;59
Ambos Sexos;4600502006;35-39;61
Ambos Sexos;4600502006;40-44;88
Ambos Sexos;4600502006;45-49;79
Ambos Sexos;4600502006;50-54;61
Ambos Sexos;4600502006;55-59;63
Ambos Sexos;4600502006;60-64;82
Ambos Sexos;4600502006;65-69;105
Ambos Sexos;4600502006;70-74;65
Ambos Sexos;4600502006;75-79;48
Ambos Sexos;4600502006;80-84;26
Ambos Sexos;4600502006;85-89;26
Ambos Sexos;4600502006;90-94;11
Ambos Sexos;4600502006;95-99;2
Ambos Sexos;4600502006;100 y más;0
Ambos Sexos;4600502007;Total;1.332
Ambos Sexos;4600502007;0-4;73
Ambos Sexos;4600502007;5-9;92
Ambos Sexos;4600502007;10-14;50
Ambos Sexos;4600502007;15-19;65
Ambos Sexos;4600502007;20-24;86
Ambos Sexos;4600502007;25-29;68
Ambos Sexos;4600502007;30-34;61
Ambos Sexos;4600502007;35-39;153
Ambos Sexos;4600502007;40-44;118
Ambos Sexos;4600502007;45-49;80
Ambos Sexos;4600502007;50-54;83
Ambos Sexos;4600502007;55-59;111
Ambos Sexos;4600502007;60-64;110
Ambos Sexos;4600502007;65-69;79
Ambos Sexos;4600502007;70-74;62
Ambos Sexos;4600502007;75-79;23
Ambos Sexos;4600502007;80-84;8
Ambos Sexos;4600502007;85-89;6
Ambos Sexos;4600502007;90-94;4
Ambos Sexos;4600502007;95-99;0
Ambos Sexos;4600502007;100 y más;0
Ambos Sexos;4600503001;Total;1.042
Ambos Sexos;4600503001;0-4;35
Ambos Sexos;4600503001;5-9;43
Ambos Sexos;4600503001;10-14;48
Ambos Sexos;4600503001;15-19;58
Ambos Sexos;4600503001;20-24;57
Ambos Sexos;4600503001;25-29;56
Ambos Sexos;4600503001;30-34;63
Ambos Sexos;4600503001;35-39;56
Ambos Sexos;4600503001;40-44;88
Ambos Sexos;4600503001;45-49;68
Ambos Sexos;4600503001;50-54;61
Ambos Sexos;4600503001;55-59;87
Ambos Sexos;4600503001;60-64;100
Ambos Sexos;4600503001;65-69;90
Ambos Sexos;4600503001;70-74;58
Ambos Sexos;4600503001;75-79;34
Ambos Sexos;4600503001;80-84;16
Ambos Sexos;4600503001;85-89;18
Ambos Sexos;4600503001;90-94;5
Ambos Sexos;4600503001;95-99;1
Ambos Sexos;4600503001;100 y más;0
Ambos Sexos;4600503002;Total;1.237
Ambos Sexos;4600503002;0-4;52
Ambos Sexos;4600503002;5-9;44
Ambos Sexos;4600503002;10-14;72
Ambos Sexos;4600503002;15-19;53
Ambos Sexos;4600503002;20-24;62
Ambos Sexos;4600503002;25-29;59
Ambos Sexos;4600503002;30-34;80
Ambos Sexos;4600503002;35-39;77
Ambos Sexos;4600503002;40-44;113
Ambos Sexos;4600503002;45-49;100
Ambos Sexos;4600503002;50-54;94
Ambos Sexos;4600503002;55-59;74
Ambos Sexos;4600503002;60-64;74
Ambos Sexos;4600503002;65-69;64
Ambos Sexos;4600503002;70-74;77
Ambos Sexos;4600503002;75-79;71
Ambos Sexos;4600503002;80-84;36
Ambos Sexos;4600503002;85-89;28
Ambos Sexos;4600503002;90-94;5
Ambos Sexos;4600503002;95-99;2
Ambos Sexos;4600503002;100 y más;0
Ambos Sexos;4600503003;Total;1.253
Ambos Sexos;4600503003;0-4;31
Ambos Sexos;4600503003;5-9;52
Ambos Sexos;4600503003;10-14;84
Ambos Sexos;4600503003;15-19;73
Ambos Sexos;4600503003;20-24;56
Ambos Sexos;4600503003;25-29;54
Ambos Sexos;4600503003;30-34;45
Ambos Sexos;4600503003;35-39;68
Ambos Sexos;4600503003;40-44;98
Ambos Sexos;4600503003;45-49;138
Ambos Sexos;4600503003;50-54;86
Ambos Sexos;4600503003;55-59;62
Ambos Sexos;4600503003;60-64;58
Ambos Sexos;4600503003;65-69;89
Ambos Sexos;4600503003;70-74;72
Ambos Sexos;4600503003;75-79;69
Ambos Sexos;4600503003;80-84;54
Ambos Sexos;4600503003;85-89;32
Ambos Sexos;4600503003;90-94;22
Ambos Sexos;4600503003;95-99;10
Ambos Sexos;4600503003;100 y más;0
Ambos Sexos;4600503004;Total;1.659
Ambos Sexos;4600503004;0-4;46
Ambos Sexos;4600503004;5-9;50
Ambos Sexos;4600503004;10-14;85
Ambos Sexos;4600503004;15-19;99
Ambos Sexos;4600503004;20-24;55
Ambos Sexos;4600503004;25-29;70
Ambos Sexos;4600503004;30-34;85
Ambos Sexos;4600503004;35-39;94
Ambos Sexos;4600503004;40-44;128
Ambos Sexos;4600503004;45-49;152
Ambos Sexos;4600503004;50-54;123
Ambos Sexos;4600503004;55-59;98
Ambos Sexos;4600503004;60-64;103
Ambos Sexos;4600503004;65-69;136
Ambos Sexos;4600503004;70-74;146
Ambos Sexos;4600503004;75-79;93
Ambos Sexos;4600503004;80-84;45
Ambos Sexos;4600503004;85-89;36
Ambos Sexos;4600503004;90-94;14
Ambos Sexos;4600503004;95-99;1
Ambos Sexos;4600503004;100 y más;0
Ambos Sexos;4600503005;Total;2.104
Ambos Sexos;4600503005;0-4;57
Ambos Sexos;4600503005;5-9;117
Ambos Sexos;4600503005;10-14;180
Ambos Sexos;4600503005;15-19;155
